NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20110101001/FPMA","01-Sep-15 02:11:30","01-Sep-15 02:13:39"," 130.00","  21.27"," 16.36","  -18"," 1245"
"nu20110101001/FPMB","01-Sep-15 02:11:30","01-Sep-15 02:13:39"," 130.00","  18.07"," 13.90","  -72"," 1237"
"nu20110102001/FPMA","01-Sep-15 02:14:34","01-Sep-15 02:17:27"," 174.00","  14.49","  8.33","  424","  822"
"nu20110102001/FPMB","01-Sep-15 02:14:34","01-Sep-15 02:17:27"," 174.00","  15.31","  8.80","  372","  834"
"nu20110103001/FPMA","01-Sep-15 02:18:24","01-Sep-15 02:21:20"," 176.00","   2.30","  1.31","  844","  387"
"nu20110103001/FPMB","01-Sep-15 02:18:24","01-Sep-15 02:21:19"," 176.00","   2.36","  1.34","  805","  401"
"nu20110105001/FPMA","01-Sep-15 02:26:04","01-Sep-15 02:26:08","   5.00","   0.06","  1.29","  920"," -251"
"nu20110105001/FPMB","01-Sep-15 02:26:04","01-Sep-15 02:26:08","   5.00","   0.05","  1.09","  903"," -217"
"nu20110107001/FPMA","01-Sep-15 02:34:10","01-Sep-15 02:36:39"," 149.99","   6.08","  4.05","   38","  404"
"nu20110107001/FPMB","01-Sep-15 02:34:10","01-Sep-15 02:36:39"," 149.99","   6.23","  4.15","   -6","  411"
"nu20110108001/FPMA","01-Sep-15 02:37:35","01-Sep-15 02:40:27"," 173.00","  14.28","  8.26"," -414","  814"
"nu20110108001/FPMB","01-Sep-15 02:37:35","01-Sep-15 02:40:27"," 173.00","  12.63","  7.30"," -460","  812"
"nu20110109001/FPMA","01-Sep-15 02:41:24","01-Sep-15 02:44:19"," 176.00","  10.14","  5.76"," -800","  374"
"nu20110109001/FPMB","01-Sep-15 02:41:24","01-Sep-15 02:44:19"," 176.00","   8.53","  4.85"," -834","  372"
"nu20110110001/FPMA","01-Sep-15 02:45:14","01-Sep-15 02:48:07"," 174.00","   4.64","  2.67"," -360","  -30"
"nu20110110001/FPMB","01-Sep-15 02:45:14","01-Sep-15 02:48:07"," 174.00","   4.21","  2.42"," -399","  -28"
"nu20110111001/FPMA","01-Sep-15 02:49:04","01-Sep-15 02:51:59"," 176.00","   6.05","  3.44","   87"," -419"
"nu20110111001/FPMB","01-Sep-15 02:49:04","01-Sep-15 02:51:59"," 176.00","   4.63","  2.63","   43"," -416"
"nu20110112001/FPMA","01-Sep-15 02:52:54","01-Sep-15 02:55:47"," 174.00","  10.75","  6.18","  532"," -814"
"nu20110112001/FPMB","01-Sep-15 02:52:54","01-Sep-15 02:55:47"," 174.00","   9.05","  5.20","  483"," -802"
"nu20110113001/FPMA","01-Sep-15 02:56:44","01-Sep-15 02:59:39"," 176.00","  18.20"," 10.34","  143","-1257"
"nu20110113001/FPMB","01-Sep-15 02:56:44","01-Sep-15 02:59:39"," 176.00","  14.73","  8.37","  102","-1262"
"nu20110114001/FPMA","01-Sep-15 03:00:35","01-Sep-15 03:03:27"," 173.00","  11.19","  6.47"," -303"," -854"
"nu20110114001/FPMB","01-Sep-15 03:00:35","01-Sep-15 03:03:27"," 173.00","   8.43","  4.87"," -333"," -849"
"nu20110116001/FPMA","01-Sep-15 03:08:15","01-Sep-15 03:11:14"," 180.00","  11.13","  6.19","-1176","  -74"
"nu20110116001/FPMB","01-Sep-15 03:08:15","01-Sep-15 03:11:14"," 180.00","  12.88","  7.16","-1230","  -70"
"nu20102002001/FPMA","01-Sep-15 03:54:48","01-Sep-15 04:47:48","2451.00","  38.77","  1.58"," 1127"," -306"
"nu20102002001/FPMB","01-Sep-15 03:54:48","01-Sep-15 04:47:48","2451.00","  28.69","  1.17"," 1082"," -306"
"nu20102003001/FPMA","01-Sep-15 08:38:21","01-Sep-15 09:38:02","3577.00","  61.60","  1.72"," 1144"," -291"
"nu20102003001/FPMB","01-Sep-15 08:38:21","01-Sep-15 09:38:02","3577.00","  45.11","  1.26"," 1092"," -291"
"nu20102004001/FPMA","01-Sep-15 10:15:06","01-Sep-15 11:14:47","3582.00","  68.90","  1.92"," 1149"," -308"
"nu20102004001/FPMB","01-Sep-15 10:15:06","01-Sep-15 11:14:47","3582.00","  51.48","  1.44"," 1090"," -313"
"nu20102005001/FPMA","02-Sep-15 02:22:31","02-Sep-15 03:22:13","3546.00","  65.85","  1.86"," 1136"," -310"
"nu20102005001/FPMB","02-Sep-15 02:22:31","02-Sep-15 03:22:13","3546.00","  47.58","  1.34"," 1082"," -308"
"nu20102006001/FPMA","02-Sep-15 03:59:16","02-Sep-15 04:58:57","3578.00","  90.35","  2.53"," 1141"," -301"
"nu20102006001/FPMB","02-Sep-15 03:59:16","02-Sep-15 04:58:57","3578.00","  66.49","  1.86"," 1095"," -296"
"nu20102007001/FPMA","02-Sep-15 08:49:29","02-Sep-15 09:49:11","3578.00","  78.61","  2.20"," 1141"," -298"
"nu20102007001/FPMB","02-Sep-15 08:49:29","02-Sep-15 09:49:11","3578.00","  58.87","  1.65"," 1082"," -298"
"nu20102008001/FPMA","02-Sep-15 10:26:14","02-Sep-15 11:25:55","3579.00","  80.47","  2.25"," 1141"," -298"
"nu20102008001/FPMB","02-Sep-15 10:26:14","02-Sep-15 11:25:55","3579.00","  61.22","  1.71"," 1087"," -301"
